price,Date
67.6375,11/14/2016
67.726,11/15/2016
68.0314,11/16/2016
67.954,11/17/2016
68.1251,11/18/2016
68.1532,11/19/2016
68.1741,11/20/2016
68.1687,11/21/2016
68.3205,11/22/2016
68.606,11/23/2016
68.7115,11/24/2016
68.565,11/25/2016
68.5291,11/26/2016
68.4255,11/27/2016
68.632,11/28/2016
68.6247,11/29/2016
68.5394,11/30/2016
68.3586,12/01/2016
68.1355,12/02/2016
68.0934,12/03/2016
67.9731,12/04/2016
68.024,12/05/2016
67.8707,12/06/2016
67.5434,12/07/2016
67.4169,12/08/2016
67.485,12/09/2016
67.5043,12/10/2016
67.398,12/11/2016
67.433,12/12/2016
67.4224,12/13/2016
67.5506,12/14/2016
67.7681,12/15/2016
67.697,12/16/2016
67.8097,12/17/2016
67.8523,12/18/2016
67.8515,12/19/2016
67.9044,12/20/2016
67.8234,12/21/2016
67.8633,12/22/2016
67.8409,12/23/2016
67.8532,12/24/2016
67.8237,12/25/2016
67.7673,12/26/2016
67.9822,12/27/2016
68.2183,12/28/2016
68.0048,12/29/2016
67.9106,12/30/2016
67.9547,12/31/2016
67.9409,01/01/2017
68.1462,01/02/2017
68.2869,01/03/2017
67.865,01/04/2017
67.7683,01/05/2017
68.1837,01/06/2017
68.1415,01/07/2017
68.1826,01/08/2017
68.0777,01/09/2017
68.322,01/10/2017
68.1768,01/11/2017
68.0979,01/12/2017
68.1099,01/13/2017
68.1771,01/14/2017
68.1579,01/15/2017
68.0843,01/16/2017
67.938,01/17/2017
68.302,01/18/2017
68.0844,01/19/2017
68.0656,01/20/2017
68.0976,01/21/2017
68.076,01/22/2017
68.0868,01/23/2017
68.1827,01/24/2017
67.9812,01/25/2017
68.1376,01/26/2017
68.1047,01/27/2017
68.105,01/28/2017
68.1346,01/29/2017
67.8287,01/30/2017
67.5299,01/31/2017
67.4255,02/01/2017
67.2821,02/02/2017
67.1708,02/03/2017
67.1711,02/04/2017
67.1833,02/05/2017
67.2065,02/06/2017
67.3848,02/07/2017
67.0009,02/08/2017
66.729,02/09/2017
66.8033,02/10/2017
66.8058,02/11/2017
66.8475,02/12/2017
66.9227,02/13/2017
66.7865,02/14/2017
66.8462,02/15/2017
67.164,02/16/2017
67.0579,02/17/2017
67.0499,02/18/2017
67.1148,02/19/2017
66.9695,02/20/2017
66.9712,02/21/2017
66.924,02/22/2017
66.6964,02/23/2017
66.758,02/24/2017
66.669,02/25/2017
66.6697,02/26/2017
66.6822,02/27/2017
66.7138,02/28/2017
66.9031,03/01/2017
66.8344,03/02/2017
66.7238,03/03/2017
66.7648,03/04/2017
66.7365,03/05/2017
66.665,03/06/2017
66.6135,03/07/2017
66.7858,03/08/2017
66.6939,03/09/2017
66.458,03/10/2017
66.4786,03/11/2017
66.4671,03/12/2017
66.1762,03/13/2017
65.7747,03/14/2017
65.6184,03/15/2017
65.4126,03/16/2017
65.4798,03/17/2017
65.4458,03/18/2017
65.4763,03/19/2017
65.3267,03/20/2017
65.5047,03/21/2017
65.3802,03/22/2017
65.4538,03/23/2017
65.3791,03/24/2017
65.3915,03/25/2017
65.3679,03/26/2017
65.0562,03/27/2017
65.0614,03/28/2017
64.7834,03/29/2017
64.8032,03/30/2017
64.786,03/31/2017
64.786,04/01/2017
64.8171,04/02/2017
64.8892,04/03/2017
65.0762,04/04/2017
65.0304,04/05/2017
64.6233,04/06/2017
64.4592,04/07/2017
64.4609,04/08/2017
64.2643,04/09/2017
64.5849,04/10/2017
64.6596,04/11/2017
64.5534,04/12/2017
64.4797,04/13/2017
64.4249,04/14/2017
64.4641,04/15/2017
64.4597,04/16/2017
64.425,04/17/2017
64.6033,04/18/2017
64.6573,04/19/2017
64.691,04/20/2017
64.6251,04/21/2017
64.6251,04/22/2017
64.6307,04/23/2017
64.4391,04/24/2017
64.3896,04/25/2017
64.0429,04/26/2017
64.1,04/27/2017
64.2532,04/28/2017
64.2386,04/29/2017
64.2778,04/30/2017
64.1981,05/01/2017
64.1043,05/02/2017
64.2484,05/03/2017
64.2184,05/04/2017
64.318,05/05/2017
64.318,05/06/2017
64.2975,05/07/2017
64.4208,05/08/2017
64.6865,05/09/2017
64.587,05/10/2017
64.4117,05/11/2017
64.1581,05/12/2017
